np "Processes - Percentage items shared" Sequential Sequential_std MPI MPI_std Speedup Efficiency "MPI broadcast" MPI_broadcast_std "Speedup broadcast" "Efficiency broadcast" "MPI interleave" MPI_interleave_std "Speedup interleave" "Efficiency interleave" "MPI interleave broadcast" MPI_interleave_broadcast_std "Speedup interleave broadcast" "Efficiency interleave broadcast"
seq. seq. 2182095.75 0.0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
24 24-10% 0 0 881951.8891933333 4761.216259262638 2.47416642 .10309026 967072.319561 3105.7717834085975 2.25639355 .09401639 14630.658877 221.0435132195216 149.14541910 6.21439246 14434.561059666667 61.29196928581062 151.17160410 6.29881683
24 24-30% 0 0 364524.2977683334 4112.249383171476 5.98614622 .24942275 417683.8693213333 1149.3633645073778 5.22427584 .21767816 14448.699249333333 233.13682094126023 151.02368125 6.29265338 14370.308374666667 50.55152567546755 151.84752429 6.32698017
24 24-50% 0 0 184087.32710800003 662.1660187146656 11.85359027 .49389959 211862.27108966667 800.4450080350083 10.29959576 .42914982 14289.929479666665 53.0106665278935 152.70164580 6.36256857 14320.492436999999 3.251266947433569 152.37574822 6.34898950
48 48-10% 0 0 938843.625852 11514.944791221751 2.32423770 .04842161 1039402.562793 19114.18913352514 2.09937499 .04373697 8724.665890333335 193.1065657170865 250.10651151 5.21055232 8876.952485333333 366.4579630282951 245.81586457 5.12116384
48 48-30% 0 0 397325.81067200005 1328.5409679515956 5.49195569 .11441574 440963.18226133334 9993.64871655433 4.94847605 .10309325 7818.474881666666 245.096570975305 279.09480851 5.81447517 8340.270424333334 485.81618217998994 261.63369279 5.45070193
48 48-50% 0 0 212626.41952300002 2839.6299352593655 10.26258051 .21380376 223494.326276 1179.5497046624916 9.76353980 .20340707 8075.456986333334 650.7140838349982 270.21328374 5.62944341 7772.764221666667 179.37976248684546 280.73613038 5.84866938
96 96-10% 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7580.139903666667 98.46960256985868 287.87011555 2.99864703
96 96-30% 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5306.116788666666 198.67952417304122 411.24156080 4.28376625
96 96-50% 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4905.4013860000005 185.00582140396097 444.83531077 4.63370115
132 132-10% 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4595.851564 118.63768391378916 474.79682918 3.59694567
132 132-30% 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5251.283597333334 111.37022795560486 415.53568942 3.14799764
132 132-50% 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4407.822929666667 143.54295626646794 495.05068257 3.75038395
176 176-10% 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5297.982284333333 129.25756621978934 411.87297972 2.34018738
176 176-30% 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6159.339795333333 69.90531355338831 354.27429278 2.01292211
176 176-50% 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4576.366503666667 40.62512871470139 476.81839910 2.70919544
264 264-10% 0 0 0 0 0 0 0 0 0 0 0 0 0 0 10002.571637666666 161.66801068113057 218.15347383 .82633891
264 264-30% 0 0 0 0 0 0 0 0 0 0 0 0 0 0 10845.131267333334 148.13553366552026 201.20510265 .76214054
264 264-50% 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6826.134696333334 182.00643630197433 319.66784235 1.21086303
