np Sequential Sequential_std MPI MPI_std Speedup Efficiency
seq. 352.503 0.1455632737563532 0 0 0 0
2 0 0 352.548 0.09614918963084468 .99987235 .49993617
4 0 0 117.73133333333334 0.04404795366667894 2.99413070 .74853267
6 0 0 70.65650000000001 0.04099691045269844 4.98896775 .83149462
8 0 0 50.43833333333333 0.005230891149910803 6.98879159 .87359894
10 0 0 39.47280000000001 0.010266774891205208 8.93027603 .89302760
12 0 0 32.1264 0.009140386570964986 10.97237785 .91436482
14 0 0 30.57636666666667 0.12475154864324783 11.52860978 .82347212
16 0 0 28.713700000000003 0.43468407684969024 12.27647429 .76727964
18 0 0 26.900599999999997 0.5072294221224417 13.10390846 .72799491
20 0 0 25.78746666666667 0.27428537855468876 13.66954748 .68347737
22 0 0 24.5519 0.29837165861835235 14.35746316 .65261196
24 0 0 23.341799999999996 0.01289056502511259 15.10179163 .62924131
48 0 0 23.454200000000004 0.1954809624149283 15.02941903 .31311289
